Value Set Name,Code System,Code,Code Description,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,77486005,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,77911002,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,78667006,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,79298009,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,81319007,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,83176005,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,832007,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,84760002,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,85080004,,,,,,,,,,,,,,,,
Depression diagnosis,SNOMEDCT,87512008,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,290,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,290,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,290,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,296,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,297,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,298,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,300,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,301,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,309,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,309,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,309,,,,,,,,,,,,,,,,
Depression diagnosis,ICD9CM,311,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F01.51,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.0,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.1,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.2,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.3,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.4,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.5,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.8,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F32.9,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F33.0,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F33.1,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F33.2,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F33.3,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F33.42,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F33.9,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F34.1,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F43.21,,,,,,,,,,,,,,,,
Depression diagnosis,ICD10CM,F43.23,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1000048,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1000054,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1000058,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1000064,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1000070,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1000076,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1000097,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1041790,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1086772,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1086778,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1086784,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1086789,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1092185,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1098649,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1098666,,,,,,,,,,,,,,,,
"Depression medications, adult",RXNORM,1098670,,,,,,,,,,,,,,,,
